,,,,,,,,,
NUM,ET VOL,DATE,PROPOSER,SOLVERS,ET VOL,DATE,MQ VOL,TYPE,
15000,54,Nov 01,Aletrop,,,,,41,
15001,54,Nov 01,A.M. Nesbitt,"R.F. Davis
A.M. Nesbitt
E.J. Nanson
L.E. Reay
E.J. Nanson (2ndSol)","55
55
55
55
xx","Jun 02
Jun 02
Jun 02
Jun 02
xx","77
77
77
77
78",45,
15002,54,Nov 01,R. Knowles,"R. Tucker
L.E. Reay","55
55","Aug 02
Aug 02","78
78",48,
15003,54,Nov 01,L. Isserlis,,,,,86,
15004,54,Nov 01,W.H.H. Hudson,,,,,46,
15005,54,Nov 01,D. Edwardes,,,,,20,
15006,54,Dec 01,Ignacio Beyens,Aletrop,55,Mar 02,77,31,
15007,54,Dec 01,Prof. Neuberg,,,,,46,
15008,54,Dec 01,D. Biddle,J.P. Hjorth,57,Apr 04,81,76,
15009,54,Dec 01,C.E. Youngman,,,,,43,
15010,54,Dec 01,R. Tucker,"H.L. Trachtenberg
L.E. Reay
R. Tucker
T. Roach
H.W. Webster
T. Wiggins
M.I. Trachtenberg","56
56
56
56
56
56
56","Jan 03
Jan 03
Jan 03
Jan 03
Jan 03
Jan 03
Jan 03","79
79
79
79
79
79
79",41,
15011,54,Dec 01,L.E. Reay,"Aletrop
L.E. Reay","xx
xx","xx
xx","78
78",41,
15012,54,Dec 01,K.J. Sanjána,"C.E. Youngman
R.F. Davis
H.W. Webster
S. Constable","55
55
55
55","Jul 02
Jul 02
Jul 02
Jul 02","78
78
78
78",41,
15013,54,Dec 01,A.M. Nesbitt,E.J. Nanson,xx,xx,78,4,
15014,54,Dec 01,E.J. Nanson,"A.M. Nesbitt
J.H. Taylor
H.M. Taylor
E.J. Nanson","55
xx
xx
xx","Apr 02
xx
xx
xx","77
77
77
82",45,
15015,54,Dec 01,T. Roach,"R. Tucker
G.G. Morrice
H.L. Trachtenberg","55
55
55","Apr 02
Apr 02
Apr 02","77
77
77",86,
15016,54,Dec 01,R. Knowles,,,,,48,
15017,54,Dec 01,Prof. Cochez,"J. Prescott
H.L. Trachtenberg
L.E. Reay
A.W. Poole","55
55
55
55","Aug 02
Aug 02
Aug 02
Aug 02","78
78
78
78",41,
15018,54,Dec 01,P.A. MacMahon,,,,,10,
15019,54,Dec 01,G.H. Hardy,G.H. Hardy,56,Apr 03,79,6,
15020,54,Dec 01,R.W.D. Christie,,,,,28,
15021,54,Dec 01,Aletrop,"James Blaikie
H.W. Webster","55
55","Jul 02
Jul 02","78
78",9,
15022,54,Dec 01,W.A. Whitworth,"Solidus
W.A. Whitworth (ps)","57
xx","Jun 04
xx","81
81",61,
