34,3,Mar 50,L. Smith,"Henry Moors
Thomas Wilkinson *
C. Cuthbert *
John Giblin *
L. Smith *
L.H. *","3
3
3
3
3
3","Apr 50
Apr 50
Apr 50
Apr 50
Apr 50
May 50","xx
xx
xx
xx
xx
xx",41,
35,3,Mar 50,Nemo,"William Thomas Bush
W. Rosdin *","3
3","Apr 50
Apr 50","xx
xx",22,
36,3,Mar 50,Nemo,"Nemo
C. Cuthbert *
John Giblin *
W. Rosdin *
A.D. *
W.T. Bush * (had W.J.)
J. Boden *
Grapes *
Henry Moors *
J. Brookes *","3
3
3
3
3
3
3
3
3
3","Apr 50
Apr 50
Apr 50
Apr 50
Apr 50
Apr 50
Apr 50
Apr 50
Apr 50
May 50","xx
xx
xx
xx
xx
xx
xx
xx
xx
xx",22,
37,3,Mar 50,Nemo,T. Wilkinson,3,Apr 50,xx,41,
38,3,Mar 50,Nemo,T. Wilkinson,3,Apr 50,xx,47,
39,3,Mar 50,Nemo,"E.M. Dillon
W.J. Bush *
Henry Moors *","3
3
3","Apr 50
Apr 50
Apr 50","xx
xx
xx",22,
40,3,Mar 50,Nemo,"Henry Moors
John Giblin *","3
3","Apr 50
Apr 50","xx
xx",48,
41,3,Mar 50,T. Wilkinson,T. Wilkinson,3,Apr 50,xx,41,
42,3,Mar 50,T. Wilkinson,"T. Wilkinson
John Giblin *","3
3","Apr 50
Apr 50","xx
xx",17,
43,3,Mar 50,Grapes,"W.J. Rosdin
John Giblin *
Grapes *
Henry Moors *
J. Brookes *
C. Tunnicliffe *","3
3
3
3
3
3","Apr 50
Apr 50
Apr 50
Apr 50
May 50
May 50","xx
xx
xx
xx
xx
xx",9,
44,3,Apr 50,Dr. Wilson,"Nemo
J. Brookes *
Thomas Elliott *
Digamma *
J.C. Cuthbert *
John Alsop *
W.T. Bush *
Henry Moors *
C. Tunnicliffe *
J. Giblin *
W.C. *","3
3
3
3
3
3
3
3
3
3
3","May 50
May 50
May 50
May 50
May 50
May 50
May 50
May 50
May 50
May 50
May 50","xx
xx
xx
xx
xx
xx
xx
xx
xx
xx
xx",22,
45,3,Apr 50,Dr. Wilson,"Function
Digamma
Thomas Elliott *
J.C. Cuthbert *
W.C. *","3
3
3
3
3","May 50
May 50
May 50
May 50
May 50","xx
xx
xx
xx
xx",53,
46,3,Apr 50,Dr. Wilson,"Thomas Elliott
Dr. Wilson
Digamma *
John Alsop *
Function *
J.H. *
George Swift *
Henry Moors *
J. Giblin *
W.C. *","3
3
3
3
3
3
3
3
3
3","May 50
Jul 50
May 50
May 50
May 50
May 50
May 50
May 50
May 50
May 50","xx
xx
xx
xx
xx
xx
xx
xx
xx
xx",41,
