,,,,,,,,,
NUM,ET VOL,DATE,PROPOSER,SOLVERS,ET VOL,DATE,MQ VOL,TYPE,
13058,49,Feb 96,C.E. Bickmore,"C.E. Bickmore
Nath Coondoo
H.W. Curjel","49
49
xx","Apr 96
Apr 96
xx","65
65
65",9,
13059,49,Feb 96,H.J. Woodall,A.M. Nesbitt,66,Dec 13,100,9,
13060,49,Feb 96,D. Biddle,,64,U 06/11,,23,
13061,49,Feb 96,James Cullen, S.J.,,63,U 12/10,,26
13062,49,Feb 96,J. Brill,"J. Brill
W.C. Stanham","xx
xx","xx
xx","65
65",20,
13063,49,Feb 96,R. Knowles,"W.C. Stanham
G.E. Crawford","49
49","Apr 96
Apr 96","65
65",44,
13064,49,Feb 96,R.F. Davis,"H.W. Curjel
G.E. Crawford","49
49","Apr 96
Apr 96","65
65",41,
13065,49,Feb 96,J.E. Campbell,"Prof. Gopalachanar
J.E. Campbell
E. Lampe","49
49
xx","Apr 96
Apr 96
xx","65
xx
65",47,
13066,49,Feb 96,T.C. Simmons,"H.W. Curjel
J.L. Kitchin","49
49","May 96
May 96","65
65",13,
13067,49,Feb 96,R. Lachlan,,,,,46,
13068,49,Feb 96,T. Wiggins,"T. Roach
E. Lampe","49
49","Sep 96
Sep 96","66
66",52,
13069,49,Feb 96,R.W.D. Christie,"H.W. Curjel
Prof. Radhakrishnan","xx
xx","xx
xx","65
65",9,
13070,49,Mar 96,J. Neuberg,,,,,46,
13071,49,Mar 96,B. Chakravarti,"H.W. Curjel
N. Sarkar","xx
xx","xx
xx","65
65",41,
13072,49,Mar 96,Prof. Cochez,,,,,48,
13073,49,Mar 96,K.J. Sanjána,"H.W. Curjel
Prof. Radhakrishnan","49
49","Jun 96
Jun 96","65
65",47,
13074,49,Mar 96,R.W. Genese,"W.E. Heal
Nath Coondoo","49
49","Jul 96
Jul 96","66
66",41,
13075,49,Mar 96,G.B.M. Zerr,"J. Cullen
Krishmachandra De","xx
xx","xx
xx","66
66",46,
13076,49,Mar 96,Prof. Anthony,,64,U 06/11,,8,
13077,49,Mar 96,"Prof. Mukhopadhyay
K.J. Sanjána","J. Cullen
H.W. Curjel","49
49","Jul 96
Jul 96","66
66",53,
13078,49,Mar 96,Prof. Radhakrishnan,E. Fenwick,xx,xx,110,10,
13079,49,Mar 96,Prof. Morley,T.W. Chaundy,xx,xx,96,46,
13080,49,Mar 96,B.F. Finkel,"D. Biddle
Prof Radhakrishnan","49
49","May 96
May 96","65
65",13,
13081,49,Mar 96,Prof. Morel,"H.W. Curjel
Prof. Krishnamacharry","49
49","May 96
May 96","65
65",44,
13082,49,Mar 96,Ignacio Beyens,"W.E. Heal
K.J. Sanjána","49
49","Jul 96
Jul 96","66
66",41,
13083,49,Mar 96,Prof. Gopalachanar,"W.E. Heal
H.W. Curjel","49
49","May 96
May 96","65
65",41,
13084,49,Mar 96,Editor,"H.W. Curjel
Nath Coondoo","49
49","May 96
May 96","65
65",41,
13085,49,Mar 96,T.C. Simmons,"H.W. Curjel
Nath Coondoo","49
49","Jun 96
Jun 96","65
65",8,
13086,49,Mar 96,J.J Walker,,,,,21,
13087,49,Mar 96,H.J. Woodall,"W.E. Heal
E. Lampe","49
49","Jun 96
Jun 96","65
65",9,
13088,49,Mar 96,D. Biddle,"W.E. Heal
Nilkantha Sarkar","49
49","Jun 96
Jun 96","65
65",23,
13089,49,Mar 96,R.F. Davis,"H.W. Curjel
W.C. Stanham","49
49","May 96
May 96","65
65",48,
13090,49,Mar 96,R. Lachlan,,,,,45,
13091,49,Mar 96,J.J. Barniville,"H.W. Curjel
W.E. Heal","xx
xx","xx
xx","65
65",61,
13092,49,Mar 96,G.H. Hopkins,"T. Wiggins
J.H. Hooker","49
49","Jun 96
Jun 96","65
65",4,
13093,49,Mar 96,T. Wood Robinson,"I. Arnold
T. Wood Robinson","49
49","Jun 96
Jun 96","65
65",44,
13094,49,Mar 96,J. Cullen,"K.J. Sanjána
B.F. Finkel","xx
xx","xx
xx","69
69",53,
13095,49,Mar 96,J. O’Byrne Croke,,,,,22,
13096,49,Mar 96,J. Macleod,,,,,41,
13097,49,Mar 96,W.C. Stanham,"V. Ramaswami Aiyar
W.C. Stanham","49
49","Jun 96
Jun 96","65
65",87,
13098,49,Mar 96,R.W.D. Christie,R.W.D. Christie,xx,xx,75,9,
13099,49,Mar 96,R. Knowles,,,,,48,
,,,,,,,,,
,,,,,,,,,
NUM,ET VOL,DATE,PROPOSER,SOLVERS,ET VOL,DATE,MQ VOL,TYPE,
13100,49,Mar 96,Morgan Brierley,"D. Biddle
Prof. Krishnamacharry","49
49","Aug 96
Aug 96","66
66",47,
13101,49,Apr 96,J. Neuberg,,,,,48,
13102,49,Apr 96,Prof. Cochez,"H.W. Curjel
Swaminatha Aiyar","49
49","Jun 96
Jun 96","65
65",48,
13103,49,Apr 96,K.J. Sanjána,,,,,41,
13104,49,Apr 96,Prof. Radhakrishnan,,,,,17,
13105,49,Apr 96,A. Cayley,,,,,31,
13106,49,Apr 96,Prof. Gopalachanar,,,,,46,
13107,49,Apr 96,Prof. Mukhopadhyay,,,,,41,
13108,49,Apr 96,Prof. Franker,,,,,1,
13109,49,Apr 96,Prof. Dez,"H.W. Curjel
B. Chakravarti","49
49","Jun 96
Jun 96","65
65",44,
13110,49,Apr 96,Prof. Morel,"H.W. Curjel
Prof. Mukhopadhyay","49
49","Jun 96
Jun 96","65
65",41,
13111,49,Apr 96,F.M. Shields,,,,,2,
13112,49,Apr 96,Editor,"H.W. Curjel
J. Cullen","49
49","Jun 96
Jun 96","65
65",54,
13113,49,Apr 96,J.J. Walker,"J. Cullen
Prof. Mukhopadhyay","49
49","May 96
May 96","65
65",46,
13114,49,Apr 96,H.J. Woodall,,66,U 05/13,,22,
13115,49,Apr 96,D. Biddle,"H.W. Curjel
B.F. Finkel","49
49","May 96
May 96","65
65",14,
13116,49,Apr 96,R.F. Davis,"K.J. Sanjána
H.W. Curjel","49
49","Aug 96
Aug 96","66
66",48,
13117,49,Apr 96,R. Lachlan,"C.E. Bickmore
E. Lampe
H.W. Curjel","49
49
xx","May 96
May 96
xx","65
65
65",96,
13118,49,Apr 96,J. Barniville,"H.W. Curjel
T. Roach","xx
xx","xx
xx","65
65",61,
13119,49,Apr 96,J. Cullen,J. Cullen,xx,xx,70,46,
13120,49,Apr 96,C.E. Bickmore,"C.E. Bickmore
Prof Morel","49
49","Jun 96
Jun 96","65
65",9,
13121,49,Apr 96,J.W. West,,,,,62,
13122,49,Apr 96,J. O’Byrne Croke,"R.F. Davis
Prof. Mukhopadhyay","xx
xx","xx
xx","65
65",22,
13123,49,Apr 96,W. Stanham,"W.C. Stanham
Krishmachandra De","xx
xx","xx
xx","66
66",17,
13124,49,Apr 96,R. Knowles,S.F. Kirby,xx,xx,109,48,
13125,49,Apr 96,C. Bickerdike,A.M. Nesbitt,xx,xx,110,47,
13126,49,Apr 96,G. Richardson,"K.J. Sanjána
Prof. Mukhopadhyay
G. Richardson
Prof. Cochez","49
49
49
49","Aug 96
Aug 96
Nov 96
Nov 96","66
66
66
66",41,
13127,49,Apr 96,H.D. Drury,"R.F. Davis
H.W. Curjel","49
49","Jun 96
Jun 96","65
65",41,
13128,49,Apr 96,M. Brierley,"C.W. Bourne
I. Beyens","xx
xx","xx
xx","66
66",61,
13129,49,Apr 96,J.H. Hooker,,,,,12q,
13130,49,Apr 96,A.G. Bessemer,,,,,53,
13131,49,May 96,J. Neuberg,"H.W. Curjel
K.J. Sanjána","49
49","Aug 96
Aug 96","66
66",41,
13132,49,May 96,Prof. Cochez,,,,,44,
13133,49,May 96,K.J. Sanjána,"W.E. Jeffares
H.W. Curjel","49
49","Aug 96
Aug 96","66
66",41,
13134,49,May 96,G.B.M. Zerr,"J. Cullen
Nath Coondoo","xx
xx","xx
xx","66
66",10,
13135,49,May 96,F.M. Shields,,,,,41,
13136,49,May 96,Prof. Barisien,"H.W. Curjel
W.E. Jeffares","49
49","Aug 96
Aug 96","66
66",84,
13137,49,May 96,W.E. Heal,,66,U 04/13,,9,
13138,49,May 96,Prof. Gregg,,57,U 01/04,,44,
13139,49,May 96,Prof. Watson,"H.W. Curjel
Prof Mukhopadhyay
K.J. Sanjána
P. Trivedi","49
49
xx
xx","Sep 96
Sep 96
xx
xx","66
66
100
100",14,
13140,49,May 96,H.L. Orchard,,64,U 07/11,,46,
13141,49,May 96,Prof. Myers,"Prof. Krishnamacharry
W.C. Stanham","49
49","Aug 96
Aug 96","66
66",51,
13142,49,May 96,Prof. Schwatt,"A. Droz-Farny
Prof. Gopalachanar","50
50","Feb 97
Feb 97","67
67",41,
13143,49,May 96,F.P. Matz,"T. Wiggins
N. Sarkar","xx
xx","xx
xx","66
66",2,
13144,49,May 96,Editor,"H.W. Curjel
R.F. Davis","49
49","Aug 96
Aug 96","66
66",41,
13145,49,May 96,H.J. Woodall,,,,,22,
13146,49,May 96,D. Biddle,,66,U 05/13,,1,
13147,49,May 96,R.F. Davis,"R.F. Dobbs
H.W. Curjel","49
49","Aug 96
Aug 96","66
66",41,
13148,49,May 96,W.C. Stanham,"W.C. Stanham
Krishmachandra De","49
49","Aug 96
Aug 96","66
66",86,
13149,49,May 96,R. Knowles,"T. Wiggins
H.W. Curjel","xx
xx","xx
xx","66
66",86,
,,,,,,,,,
,,,,,,,,,
NUM,ET VOL,DATE,PROPOSER,SOLVERS,ET VOL,DATE,MQ VOL,TYPE,
13150,49,May 96,G. Richardson,"H.W. Curjel
B. Chakravarti","xx
xx","xx
xx","66
66",44,
13151,49,May 96,M. Brierley,"D. Biddle
Prof. Krishnamacharry","49
49","Aug 96
Aug 96","66
66",47,
13152,49,May 96,T. Wiggins,"Prof. Radhakrishnan
A. Droz-Farny","50
50","Jan 97
Jan 97","67
67",45,
13153,49,May 96,T.W. Robinson,"Prof. Gopalachanar
T.W. Robinson","49
49","Dec 96
Dec 96","66
66",31,
13154,49,May 96,I. Arnold,"K.J. Sanjána
Nilkantha Sarkar
Prof. Gopalachanar","49
49
xx","Jul 96
Jul 96
xx","66
xx
66",74,
13155,49,May 96,Col. A.R. Clarke,,,,,13,
13156,49,May 96,Mme. Vve. F.Prime,,,,,48,
13157,49,May 96,J.J. Walker,Balakram,xx,xx,110,21,
13158,49,May 96,R.W.D. Christie,R.W.D. Christie,xx,xx,70,78,
13159,49,May 96,W.A. Whitworth,,,,,20,
13160,49,May 96,C.J. Monro,,,,,46,
13161,49,Jun 96,J.J. Sylvester,,,,,8,
