,,,,,,,,,
NUM,ET VOL,DATE,PROPOSER,SOLVERS,ET VOL,DATE,MQ VOL,TYPE,
18000,68,May 15,B. Howarth,A. Cunningham,68,Aug 15,104,29,
18001,68,May 15,J. Hammond,J. Hammond,68,Aug 15,104,10,
18002,68,May 15,K.J. Sanjána,C.M. Ross,xx,xx,104,61,
18003,68,May 15,S.K. Aiyangar,C.M. Ross,68,Sep 15,104,61,
18004,68,May 15,W.F. Beard,"W.F. Beard
F.W. Reeves","xx
xx","xx
xx","104
104",28,
18005,68,May 15,C.E. Youngman,,,,,44,
18006,68,May 15,W.F. Beard,"F. Glanville Taylor
W.F. Beard","68
xx","Aug 15
xx","104
104",87,
18007,68,May 15,R.F. Davis,F.H. Peachell,68,Dec 15,104,48,
18008,68,May 15,J. Neuberg,,,,,44,
18009,68,May 15,J.E.S. Steggall,"W.F. Beard
J. Macmillan
F.H. Peachell","xx
xx
xx","xx
xx
x","105
105
105",48,
18010,68,May 15,M.A. Giblett,"F. Glanville Taylor
W.F. Beard
F.H. Peachell","68
68
68","Nov 15
Nov 15
Nov 15","104
104
104",44,
18011,68,May 15,H.D. Drury,F.H. Peachell,68,Oct 15,104,47,
18012,68,May 15,R. Vythynathaswamy,,,,,47,
18013,68,May 15,E.G. Hogg,,,,,41,
18014,68,Jun 15,C.M. Ross,,,,,53,
18015,68,Jun 15,T. Muir,"T. Muir
E.J. Nanson","xx
xx","xx
xx","104
105",25,
18016,68,Jun 15,J.C. Swaminarayan,E.J. Nanson,68,Dec 15,104,25,
18017,68,Jun 15,S.K. Aiyangar,S.K. Aiyangar,xx,xx,104,61,
18018,68,Jun 15,James A. Cole,,,,,29,
18019,68,Jun 15,K.J. Sanjána,"W.F. Beard
F.W. Reeves
F.H. Peachell","xx
xx
xx","xx
xx
xx","104
104
104",28,
18020,68,Jun 15,F.G.W. Brown,F.G.W. Brown,68,Oct 15,104,22,
18021,68,Jun 15,W.N. Bailey,C.E. Youngman,xx,xx,105,44,
18022,68,Jun 15,E.G. Hogg,E.G. Hogg,xx,xx,105,84,
18023,68,Jun 15,C. Cochez,"J. Macmillan
I. Fitz Roy Jones","xx
xx","xx
xx","105
105",41,
18024,68,Jun 15,J. Neuberg,C.M. Ross,68,Dec 15,104,41,
18025,68,Jun 15,A.M. Nesbitt,J. Macmillan,68,Dec 15,104,41,
18026,68,Jun 15,W.F. Beard,"A.A. Bourne
I. Fitz Roy Jones
J. Macmillan","xx
xx
xx","xx
xx
xx","104
104
104",89,
18027,68,Jun 15,C.E. Youngman,"R.F. Davis
W.F. Beard","xx
xx","xx
xx","104
104",41,
18028,68,Jun 15,Norman Alliston,,,,,41,
18029,68,Jun 15,W.F. Beard,"W.F. Beard
C.M. Ross
J. Macmillan","xx
xx
xx","xx
xx
xx","105
105
105",41,
18030,68,Jun 15,L.M. Stewart,J. Macmillan,68,Oct 15,104,76,
18031,68,Jun 15,R.F. Davis,"W.F. Beard
B.A. Swinden
J. Macmillan
C.M. Ross","68
68
68
68","Sep 15
Sep 15
Sep 15
Sep 15","104
104
104
104",3,
18032,68,Jul 15,E.R. Hamilton,E.R. Hamilton,xx,xx,104,6,
18033,68,Jul 15,T. Muir,C.M. Ross,68,Dec 15,104,25,
18034,68,Jul 15,K.J. Sanjána,,,,,51,
18035,68,Jul 15,C.M. Ross,"E.R. Hamilton
C.M. Ross","xx
xx","xx
xx","104
104",5,
18036,68,Jul 15,S.K. Aiyangar,,,,,53,
18037,68,Jul 15,B. Howarth,A. Cunningham,xx,xx,104,29,
18038,68,Jul 15,A. Cunningham,A. Cunningham,xx,xx,104,29,
18039,68,Jul 15,C.M. Ross,"E.J. Nanson
W.F. Beard
E.R. Hamilton
C.M. Ross","xx
xx
xx
xx","xx
xx
xx
xx","105
105
105
105",75,
18040,68,Jul 15,R. Srinivasan,"J. Blaikie
M.A. Giblett","xx
xx","xx
xx","105
105",79,
18041,68,Jul 15,C.E. Youngman,,,,,79,
18042,68,Jul 15,W.N. Bailey,W.N. Bailey,xx,xx,104,79,
18043,68,Jul 15,W.F. Beard,"W.F. Beard
R. Srinivasan","68
68","Dec 15
Dec 15","104
104",84,
18044,68,Jul 15,Prof. Lauvernay,E.R. Hamilton,xx,xx,107,87,
18045,68,Jul 15,W.F. Beard,"W.F. Beard
S.R. Bilvanadhan","xx
xx","xx
xx","105
105",41,
18046,68,Jul 15,H.D. Drury,"F.W. Reeves
J. Blaikie
W.J. Ashdown
M.A. Giblett","xx
xx
xx
xx","xx
xx
xx
xx","104
104
104
104",41,
18047,68,Jul 15,R.F. Davis,,,,,41,
18048,68,Jul 15,F.G.W. Brown,R. Srinivasan (ps),xx,xx,104,41,
18049,68,Jul 15,E.G. Hogg,E.G. Hogg,xx,xx,104,41,
,,,,,,,,,
,,,,,,,,,
NUM,ET VOL,DATE,PROPOSER,SOLVERS,ET VOL,DATE,MQ VOL,TYPE,
18050,68,Aug 15,Leonard C. Miller,,,,,17,
18051,68,Aug 15,A.M. Nesbitt,,,,,12,
18052,68,Aug 15,W.N. Bailey,,,,,6,
18053,68,Aug 15,C.M. Ross,C.M. Ross,xx,xx,105,53,
18054,68,Aug 15,T. Muir,C.M. Ross,xx,xx,105,25,
18055,68,Aug 15,B. Howarth,,,,,29,
18056,68,Aug 15,J.J. Barniville,J.J. Barniville,68,Dec 15,104,28,
18057,68,Aug 15,Norman Alliston,"D. Biddle
C.M. Ross","xx
xx","xx
xx","104
104",62,
18058,68,Aug 15,R. Srinivasan,"A. Cunningham
F.G.W. Brown","68
68","Nov 15
Nov 15","104
104",22,
18059,68,Aug 15,C.E. Youngman,,,,,89,
18060,68,Aug 15,K.J. Sanjána,,,,,48,
