,,,,,,,,,
NUM,ET VOL,DATE,PROPOSER,SOLVERS,ET VOL,DATE,MQ VOL,TYPE,
11000,44,May 91,G.B.M. Zerr,G.B.M. Zerr,44,Dec 91,56,14,
11001,44,May 91,Prof. Morley,"D.P. Hibbard
Ignacio Beyens","xx
xx","xx
xx","61
61",86,
11002,44,May 91,Prof. G. de Longchamps,G. de Longchamps,xx,xx,57,84,
11003,44,May 91,V. Ramaswami Aiyar,H. Fortey,xx,xx,56,10,
11004,44,May 91,E. Lampe,"R. Knowles
Ignacio Beyens","xx
xx","xx
xx","56
56",48,
11005,44,May 91,R.W. Genese,,,,,41,
11006,44,May 91,H.L. Orchard,G.B.M. Zerr,xx,xx,55,44,
11007,44,May 91,G.M. Minchin,,,,,20,
11008,44,May 91,J. Wolstenholme,H.W. Curjel,xx,xx,62,44,
11009,44,May 91,W.K. Clifford,H.W. Curjel,xx,xx,57,18,
11010,44,May 91,F.P. Matz,G.B.M. Zerr,xx,xx,55,14,
11011,44,May 91,M.W. Crofton,G.B.M. Zerr,xx,xx,55,14,
11012,44,May 91,W.H.H. Hudson,,,,,17,
11013,44,May 91,A. Anderson,"H.W. Curjel
Prof. Mukhopadhyay","xx
xx","xx
xx","64
64",43,
11014,44,May 91,Prof. Purser,Henry Riddell,xx,xx,99,41,
11015,44,May 91,Editor,G.B.M. Zerr,xx,xx,55,41,
11016,44,May 91,I. Arnold,I. Arnold,44,Oct 91,56,47,
11017,44,May 91,H. MacColl,,,,,13Δ,
11018,44,May 91,D. Biddle,"H.J. Woodall
Ignacio Beyens","xx
xx","xx
xx","57
57",6,
11019,44,May 91,A. Martin,,,,,8,
11020,44,May 91,W.J. Greenstreet,"H.J. Woodall
Prof. Gopalachanar","xx
xx","xx
xx","64
64",41,
11021,44,May 91,R.F. Davis,R.F. Davis,44,Aug 91,56,41,
11022,44,May 91,G. Heppel,"G. Heppel
Prof. Mukhopadhyay","xx
xx","xx
xx","57
57",3,
11023,44,May 91,R. Tucker,,57,U 06/04,,41,
11024,44,May 91,H.J. Woodall,,59,U 12/06,,96,
