3054,22,1970-01-01,W. Roberts,J.J. Walker,23,1970-05-01,13,46
3055,22,1970-01-01,R. Tucker,,,,,44
3056,22,1970-01-01,W.S. Burnside,,,,,24
3057,22,1970-01-01,B.W. Horne,"R. Chartres
 Prof. Coondoo","48
 48","Nov 95
 Nov 95","64
 64",15
3058,22,1970-01-01,M. Collins,"Morgan Jenkins
 R. Tucker","22
 xx","Mar 70
 xx","13
 13",31
3059,22,1970-01-01,W.H.H. Hudson,,,,,18
3060,22,1970-01-01,J.J. Walker,"C.R. Rippin
 R.W. Genese
 R. Tucker","23
 23
 23","Apr 70
 Apr 70
 Apr 70","13
 13
 13",31
3061,22,1970-01-01,C. Taylor,R.W. Genese,24,1971-04-01,15,45
3062,22,1970-01-01,A. Renshaw,"J.A. McNeill
 A. Renshaw",,,"13
 13",76
3063,22,1970-01-01,G.A. Ogilvie,,,,,10
3064,22,1970-02-01,R. Townsend,"J.J. Walker
 R. Townsend","23
 xx","Apr 70
 xx","13
 13",46
3065,22,1970-02-01,J.J. Sylvester,,,,,17
3066,22,1970-02-01,W.S.B. Woodhouse,,,,,14
3067,22,1970-02-01,J. Wolstenholme,"C.W. Merrifield
 J. McNeill
 R. Tucker
 J. Wolstenholme
 J.J. Sylvester","23
 xx
 xx
 xx
 xx","Apr 70
 xx
 xx
 xx
 xx","13
 13
 13
 13
 24",22
3068,22,1970-02-01,S. Roberts,S. Roberts,23,1970-04-01,13,24
3069,22,1970-02-01,"N’Importe
 Editor","S. Bills
 J. Wolstenholme
 Asher B. Evans
 A. Martin
 D.S. Hart","xx
 23
 23
 23
 23
 26","xx
 May 70
 May 70
 May 70
 May 70
 Oct 73","xx
 13
 13
 13
 13
 20",9
3070,22,1970-02-01,G.A. Ogilvie,,,,,45
3071,22,1970-02-01,W.A. Whitworth,J. Wolstenholme,23,1970-04-01,13,17
3072,22,1970-02-01,A. Martin,,,,,14
3073,22,1970-02-01,E. Hill,H.,23,1970-05-01,13,19
3074,22,1970-02-01,J. Blissard,J. Blissard,xx,xx,14,6
3075,22,1970-02-01,R. Tucker,,,,,84
3076,22,1970-02-01,"A.F. Torry
 T.R. Terry",F.E. Cave,56,42828,79,17
3077,22,1970-02-01,R.W. Genese,James Dale,xx,,14,41
3078,22,1970-02-01,W.H.H. Hudson,"K.J. Sanjána
 Prof. Krishnamcharry","48
 38","May 95
 May 95","63
 63",15
3079,22,1970-02-01,C.R. Rippin,,,,,17
3080,22,1970-02-01,C. Taylor,J. Wolstenholme,23,1970-06-01,13,45
3081,22,1970-02-01,B.W. Horne,Morgan Jenkins,23,1970-06-01,13,44
3082,22,1970-02-01,J.J. Walker,J.A. McNeill,xx,xx,13,2
3083,22,1970-02-01,James Matteson,D.S. Hart,xx,xx,39,9
3084,22,1970-02-01,A. Martin,,,,,13
3085,22,1970-03-01,J.J. Sylvester,,,,,13
3086,22,1970-03-01,M.W. Crofton,J.J. Walker,xx,xx,13,6
